item,sentence,penalized_logprob
RC.whe.non.lg.04,I like the talented actor who the director thinks that Tom should hire.,-14.655824633015387
RC.whe.non.lg.05,I called the principal who the teacher thinks that Christine will apologize to.,-17.56800474494246
RC.whe.non.lg.06,I negotiated with the famous band who the agent thinks that Alan will perform with.,-18.94135068262614
RC.whe.non.lg.07,I share a locker with the quarterback who the cheerleader thinks that Jessica kissed.,-16.042533136322536
RC.whe.non.lg.08,I spoke with the chef who the waiter thinks that Rachel should talk to.,-14.745765761027892
RC.whe.isl.lg.01,I take classes with the struggling student who the professor wonders whether Paul will tutor.,-23.26978698833539
RC.whe.isl.lg.02,I respect the general who the soldier wonders whether Matt will impress.,-25.409554577168432
RC.whe.isl.lg.03,I dislike the home owner who the real estate agent wonders whether Caroline will confront.,-20.609795221962287
RC.whe.isl.lg.04,I like the talented actor who the director wonders whether Tom should hire.,-18.256394206604725
RC.whe.isl.lg.05,I called the principal who the teacher wonders whether Christine will apologize to.,-23.894095569019903
RC.whe.isl.lg.06,I negotiated with the famous band who the agent wonders whether Alan will perform with.,-24.826220906450672
RC.whe.isl.lg.07,I share a locker with the quarterback who the cheerleader wonders whether Jessica kissed.,-22.09561067474918
RC.whe.isl.lg.08,I spoke with the chef who the waiter wonders whether Rachel should talk to.,-20.549183186503267
RC.adjBecause.non.lg.01,I called the client who the secretary thought that the lawyer insulted.,-18.85424739581481
RC.adjBecause.non.lg.02,I sympathized with the parents who the priest believed that the bride and groom neglected to thank.,-14.43748833003927
RC.adjBecause.non.lg.03,I talked to the actor who the reporter claimed that the tourists photographed.,-18.738542470528397
RC.adjBecause.non.lg.04,I met the artist who the parents thought that the child prodigy imitated.,-20.97930974785878
RC.adjBecause.non.lg.05,I served the child who the other customer believed that the young couple played with at the restaurant.,-21.540553196086755
RC.adjBecause.non.lg.06,I spoke with the college president who the professor claimed that the students publicly criticized.,-13.939406412007322
RC.adjBecause.non.lg.07,I interviewed the executive who the employee thought that the office manager blackmailed.,-18.449469064873707
RC.adjBecause.non.lg.08,I emailed the congressman who the teacher said that her students wrote letters to. ,-9.212805146672727
RC.adjBecause.isl.lg.01,I called the client who the secretary worried because the lawyer insults.,-22.82307323307614
RC.adjBecause.isl.lg.02,I sympathized with the parents who the priest sighed because the bride and groom neglected to thank.,-17.083122696149402
RC.adjBecause.isl.lg.03,I talked to the actor who the reporter coughed because the tourists photographed.,-26.46869939975845
RC.adjBecause.isl.lg.04,I met the artist who the parents blushed because the child prodigy imitated.,-24.82158495357262
RC.adjBecause.isl.lg.05,I served the child who the other customer winked because the young couple played with at the restaurant.,-26.440595270810704
RC.adjBecause.isl.lg.06,I spoke with the college president who the professor fainted because the students publicly criticized.,-18.233641990242546
RC.adjBecause.isl.lg.07,I interviewed the executive who the employee laughed because the office manager blackmailed.,-26.415828417037392
RC.adjBecause.isl.lg.08,I emailed the congressman who the teacher smiled because her students wrote letters to. ,-16.538942641007154
